00:00:00.006; 00:00:01.035; 00:00:00.006;
00:00:00.014; 00:00:02.160; 00:00:00.017;
00:00:00.021; 00:00:03.335; 00:00:00.020;
00:00:00.027; 00:00:04.397; 00:00:00.032;
00:00:00.035; 00:00:05.934; 00:00:00.040;
00:00:00.042; 00:00:07.470; 00:00:00.044;
00:00:00.047; 00:00:07.921; 00:00:00.050;
00:00:00.054; 00:00:09.121; 00:00:00.060;
00:00:00.081; 00:00:14.370; 00:00:00.082;
00:00:00.109; 00:00:19.185; 00:00:00.110;
00:00:00.144; 00:00:25.946; 00:00:00.137;
00:00:00.166; 00:00:30.201; 00:00:00.163;
00:00:00.188; 00:00:36.591; 00:00:00.191;
00:00:00.214; 00:00:39.692; 00:00:00.222;
00:00:00.262; 00:00:46.848; 00:00:00.243;
00:00:00.289; 00:00:52.801; 00:00:00.306;
